DATAFLOW,LAST UPDATE,freq,src_crf,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Denmark,2020,60.0,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Denmark,2021,61.2,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Denmark,2022,59.0,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Denmark,2023,54.2,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Estonia,2014,52.1,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Estonia,2015,44.5,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Estonia,2016,48.5,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Estonia,2017,51.6,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Estonia,2018,49.5,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Estonia,2019,36.0,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Estonia,2020,28.1,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Estonia,2021,31.2,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Estonia,2022,35.1,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Estonia,2023,27.0,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Greece,2014,96.1,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Greece,2015,92.4,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Greece,2016,88.9,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Greece,2017,92.6,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Greece,2018,89.4,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Greece,2019,83.0,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Greece,2020,73.0,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Greece,2021,75.0,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Greece,2022,74.8,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Greece,2023,69.2,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Spain,2014,111.8,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Spain,2015,115.8,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Spain,2016,111.8,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Spain,2017,116.3,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Spain,2018,114.3,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Spain,2019,107.8,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Spain,2020,94.1,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Spain,2021,100.3,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Spain,2022,102.0,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Spain,2023,94.2,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Finland,2014,81.7,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Finland,2015,76.7,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Finland,2016,80.7,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Finland,2017,76.7,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Finland,2018,78.1,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Finland,2019,73.4,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Finland,2020,66.5,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Finland,2021,66.6,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Finland,2022,63.6,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Finland,2023,57.2,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",France,2014,83.6,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",France,2015,84.2,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",France,2016,84.6,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",France,2017,85.1,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",France,2018,81.6,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",France,2019,79.8,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",France,2020,72.5,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",France,2021,76.8,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",France,2022,73.8,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",France,2023,68.9,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Croatia,2014,77.0,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Croatia,2015,78.5,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Croatia,2016,79.0,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Croatia,2017,81.7,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Croatia,2018,78.1,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Croatia,2019,78.6,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Croatia,2020,75.7,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Croatia,2021,77.4,,
ESTAT:SDG_13_10$DEFAULTVIEW(1.0),13/05/25 23:00:00,Annual,Total (excluding LULUCF and memo items),"Index, 1990=100",Croatia,2022,77.7,,
