DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Czechia,2017,28108.937,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Czechia,2018,25480.503,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Czechia,2019,24122.817,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Czechia,2020,23520.911,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Czechia,2021,26228.246,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Czechia,2022,30254.913,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Czechia,2023,22648.093,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Germany,2014,74320.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Germany,2015,85290.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Germany,2016,78863.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Germany,2017,80301.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Germany,2018,80463.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Germany,2019,72793.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Germany,2020,66882.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Germany,2021,70306.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Germany,2022,76587.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Germany,2023,60082.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Denmark,2014,9847.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Denmark,2015,9733.185,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Denmark,2016,9919.365,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Denmark,2017,10655.394,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Denmark,2018,10409.267,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Denmark,2019,10171.042,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Denmark,2020,11711.401,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Denmark,2021,15251.013,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Denmark,2022,17389.516,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Denmark,2023,16697.510,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Euro area – 20 countries (from 2023),2014,260504.348,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Euro area – 20 countries (from 2023),2015,276937.570,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Euro area – 20 countries (from 2023),2016,263753.845,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Euro area – 20 countries (from 2023),2017,266647.514,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Euro area – 20 countries (from 2023),2018,269525.608,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Euro area – 20 countries (from 2023),2019,269618.765,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Euro area – 20 countries (from 2023),2020,267559.992,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Euro area – 20 countries (from 2023),2021,280161.147,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Euro area – 20 countries (from 2023),2022,274490.404,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Euro area – 20 countries (from 2023),2023,290991.439,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Estonia,2014,6484.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Estonia,2015,6377.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Estonia,2016,5614.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Estonia,2017,5015.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Estonia,2018,4950.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Estonia,2019,2704.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Estonia,2020,3723.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Estonia,2021,4703.405,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Estonia,2022,6172.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Estonia,2023,4355.404,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Greece,2014,642.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Greece,2015,1473.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Greece,2016,1037.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Greece,2017,2459.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Greece,2018,2272.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Greece,2019,1123.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Greece,2020,967.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Greece,2021,3897.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Greece,2022,4304.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Greece,2023,3238.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Spain,2014,15716.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Spain,2015,15089.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Spain,2016,14178.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Spain,2017,14593.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Spain,2018,12916.000,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Spain,2019,11858.514,,
ESTAT:NRG_CB_E(1.0),24/04/25 23:00:00,Annual,Exports,Electricity,Gigawatt-hour,Spain,2020,14648.780,,
